Date and Time: 2023-12-13 15:54:38.619476
Date and Time: 2023-12-13 16:03:24.891071
Winner: ee Wins!, Date and Time: 2023-12-13 16:03:41.663165
Winner: sd Wins!, Date and Time: 2023-12-13 16:08:22.698707
Winner: wew Wins!,dfd: 0,wew: 10, 2023-12-13 16:12:01.742618
Winner: ps Wins!,harry: 0,ps: 10, Date and Time: 2023-12-13 16:15:37
Winner: udk Wins!,idk: 2,udk: 10, Date and Time: 2023-12-14 07:46:41
Winner: t Wins!,r: 1,t: 10, Date and Time: 2023-12-14 08:32:28
Winner: jyoti Wins!,jyoti: 10,hardik: 4, Date and Time: 2023-12-14 11:13:26
Winner: hardik Wins!,jyoti: 0,hardik: 10, Date and Time: 2023-12-14 11:14:47
Winner: gg Loses!,gg: -1,rr: 2, Date and Time: 2023-12-14 16:58:25
Winner: gg Wins!,gg: 10,rr: 3, Date and Time: 2023-12-14 17:00:23
Winner: rr Loses!,gg: 0,rr: -1, Date and Time: 2023-12-14 17:00:25
Winner: gg Wins!,gg: 10,rr: 4, Date and Time: 2023-12-14 17:01:45
Winner: muskan Loses!,hardik: 2,muskan: -1, Date and Time: 2023-12-14 17:04:11
Winner: e Loses!,ik: 3,e: -1, Date and Time: 2023-12-14 17:09:12
Winner: e Loses!,e: -1,i: 0, Date and Time: 2023-12-14 17:10:51
Winner: e Loses!,e: -1,i: 0, Date and Time: 2023-12-14 17:10:53
Winner: e Wins!,e: 10,r: 0, Date and Time: 2023-12-14 17:50:38
Winner: r Wins!,e: 1,r: 10, Date and Time: 2023-12-14 17:55:05
Winner: e Loses!,e: -1,r: 1, Date and Time: 2023-12-14 18:00:26
Winner: r Loses!,e: 0,r: -1, Date and Time: 2023-12-14 18:03:07
Winner: r Loses!,e: 1,r: -1, Date and Time: 2023-12-14 18:04:18
Winner: b Wins!,a: 0,b: 10, Date and Time: 2023-12-14 18:10:43
Winner: re Loses!,e: 2,re: -1, Date and Time: 2023-12-14 18:12:56
Winner: r Loses!,e: 1,r: -1, Date and Time: 2023-12-14 18:14:17
Winner: r Loses!,e: 1,r: -1, Date and Time: 2023-12-14 18:14:28
Winner: r Loses!,e: 1,r: -1, Date and Time: 2023-12-14 18:22:49
Winner: r Loses!,e: 1,r: -1, Date and Time: 2023-12-14 18:23:17
Winner: aaron kataria Wins!,aaron kataria: 10,harry mehta: 4, Date and Time: 2023-12-14 19:31:03
Winner: harry mehta Loses!,aaron kataria: 0,harry mehta: -1, Date and Time: 2023-12-14 19:31:12
Winner: harry mehta Wins!,aaron kataria: 5,harry mehta: 10, Date and Time: 2023-12-14 19:33:16
Winner: harry mehta Wins!,aaron kataria: 8,harry mehta: 10, Date and Time: 2023-12-23 22:33:55
Winner: harry mehta Wins!,aaron kataria: 1,harry mehta: 10, Date and Time: 2023-12-23 22:34:47
Winner: harry mehta Wins!,aaron kataria: 2,harry mehta: 10, Date and Time: 2023-12-23 22:35:27
Winner: harry mehta Wins!,aaron kataria: 0,harry mehta: 10, Date and Time: 2023-12-23 22:36:03
Winner: aaron kataria Loses!,aaron kataria: -1,harry mehta: 1, Date and Time: 2023-12-23 22:36:14
Winner: aaron kataria Loses!,aaron kataria: -1,harry mehta: 2, Date and Time: 2023-12-23 22:36:34
Winner: harry mehta Wins!,aaron kataria: 8,harry mehta: 10, Date and Time: 2023-12-23 22:38:34
Winner: aaron kataria Loses!,aaron kataria: -1,harry mehta: 7, Date and Time: 2023-12-23 22:39:39
Winner: aaron kataria Loses!,aaron kataria: -1,harry mehta: 0, Date and Time: 2023-12-23 22:39:58
Winner: aaron kataria Loses!,aaron kataria: -1,harry mehta: 2, Date and Time: 2023-12-23 22:40:15
